"DATE.TIME,""hour"",""day"",""lab"",""analyzer"",""CO2_in"",""CO2_S"",""CO2_N"",""CH4_in"",""CH4_S"",""CH4_N"",""NH3_in"",""NH3_S"",""NH3_N"",""H2O_in"",""H2O_S"",""H2O_N"",""n_animals"",""m_weight"",""p_pregnancy_day"",""Y1_milk_prod"",""Temperature"""
"2025-04-12 08:00:00,8,2025-04-12,""LUFA"",""FTIR.2"",562.775,417.9,446.35,17.125,2.9,5.7,2.1,0.95,1.25,1.0175,0.965,0.975,50.25,545.1818182,119.5510204,31.28305085,10.82833333"
"2025-04-12 09:00:00,9,2025-04-12,""LUFA"",""FTIR.2"",565.225,416.4,437.8,18.175,3.25,5.35,2.05,0.9,1,1.01,0.965,0.965,50.5,545.1818182,119.5510204,31.28305085,13.40166667"
"2025-04-12 10:00:00,10,2025-04-12,""LUFA"",""FTIR.2"",530.475,413.9,422.95,14.725,3.15,3.65,1.8,0.8,0.85,1.0075,0.965,0.97,47.5,545.1818182,119.5510204,31.28305085,18.76916667"
"2025-04-12 11:00:00,11,2025-04-12,""LUFA"",""FTIR.2"",545.05,412.25,416.2,15.825,3.15,3.55,1.65,0.8,0.9,1.005,0.935,0.95,47,545.1818182,119.5510204,31.28305085,19.75583333"
"2025-04-12 12:00:00,12,2025-04-12,""LUFA"",""FTIR.2"",531.525,409.6,412.1,14.15,2.8,2.85,1.875,0.9,0.95,1.0025,0.93,0.94,46.25,545.1818182,119.5510204,31.28305085,21.28583333"
"2025-04-12 13:00:00,13,2025-04-12,""LUFA"",""FTIR.2"",536.525,408.2,411.9,14.725,2.85,3,2.1,1,0.95,0.985,0.9,0.92,46,545.1818182,119.5510204,31.28305085,21.39333333"
"2025-04-12 14:00:00,14,2025-04-12,""LUFA"",""FTIR.2"",518.425,408.3,416.85,13.45,2.75,3.5,2.325,0.95,0.9,0.935,0.85,0.865,46.5,545.1818182,119.5510204,31.28305085,18.80666667"
"2025-04-12 15:00:00,15,2025-04-12,""LUFA"",""FTIR.2"",532.675,407.4,413.05,14.8,3.2,3.4,2,1.1,1.05,0.9075,0.84,0.835,44.5,545.1818182,119.5510204,31.28305085,21.35333333"
"2025-04-12 16:00:00,16,2025-04-12,""LUFA"",""FTIR.2"",517.5,407.533333333333,403.7,13.125,3,2.75,1.85,1.03333333333333,0.9,0.8825,0.8,0.81,44.75,545.1818182,119.5510204,31.28305085,19.65"
"2025-04-12 17:00:00,17,2025-04-12,""LUFA"",""FTIR.2"",556.25,409.2,403.2,16.475,3.55,2.65,1.85,1.1,1,0.8225,0.72,0.745,46.75,545.1818182,119.5510204,31.28305085,15.295"
"2025-04-12 18:00:00,18,2025-04-12,""LUFA"",""FTIR.2"",599.575,421.4,404.05,20.375,4.6,2.6,2.3,1.2,0.85,0.8425,0.75,0.73,46.75,545.1818182,119.5510204,31.28305085,12.14916667"
"2025-04-12 19:00:00,19,2025-04-12,""LUFA"",""FTIR.2"",647.55,412.25,404.4,24.625,3.2,2.85,2.05,1,0.95,0.9225,0.85,0.835,47.5,545.1818182,119.5510204,31.28305085,10.58333333"
"2025-04-12 20:00:00,20,2025-04-12,""LUFA"",""FTIR.2"",754.025,431.55,410.1,32.95,4.3,2.9,2.375,0.9,0.9,0.9775,0.87,0.86,47.25,545.1818182,119.5510204,31.28305085,9.678333333"
"2025-04-12 21:00:00,21,2025-04-12,""LUFA"",""FTIR.2"",745.45,421.35,419.05,31.1,2.8,2.85,2.425,0.85,0.9,0.9675,0.845,0.85,47.75,545.1818182,119.5510204,31.28305085,8.9425"
"2025-04-12 22:00:00,22,2025-04-12,""LUFA"",""FTIR.2"",719.675,435.5,423.15,27.175,3.4,2.8,2.55,0.9,0.85,0.9025,0.8,0.8,46.5,545.1818182,119.5510204,31.28305085,8.393333333"
"2025-04-12 23:00:00,23,2025-04-12,""LUFA"",""FTIR.2"",694.55,424.733333333333,421.45,25.1,3.16666666666667,2.75,2.3,0.766666666666667,0.85,0.8775,0.803333333333333,0.81,45.5,545.1818182,119.5510204,31.28305085,7.313333333"
